word	pos_tok_MBOF	abs_tok_MBOF	pos_type_MBOF	abs_type_MBOF	es_pos_tok_MBPF	es_abs_tok_MBPF	es_pos_type_MBPF	es_abs_type_MBPF	
examen	4105.689007	31510.357843	2345.600000	16599.600000	3241.661100	30961.970503	2288.500000	16732.500000	
anfitrión	3195.323093	22639.238726	1520.750000	13152.875000	3675.151458	25970.604732	1685.500000	12998.750000	
receptor	5694.808255	26664.775940	3911.571429	15728.285714	4837.404703	20156.593860	3384.000000	11584.285714	
altura	6479.376975	26635.547494	2721.600000	16631.200000	6141.715921	25619.734309	2808.200000	16821.000000	
foco	3433.123930	23388.976288	2011.333333	11834.333333	2966.045228	22376.641040	2002.000000	11630.000000	
negocio	4163.398106	21561.390912	1715.166667	9379.000000	4239.304836	22464.398766	1358.000000	8095.000000	
líder	6075.197360	48532.246047	2285.750000	15656.250000	7008.393790	31489.196611	2829.000000	16344.750000	
cordillera	8122.003182	34334.798572	3690.555556	21001.777778	8994.076015	30489.623826	4007.375000	18198.125000	
morro	8039.417329	28267.053826	3442.750000	19108.000000	2275.077209	9056.032357	1611.000000	8680.333333	
escultura	5301.440439	26523.615470	2446.875000	16609.875000	5757.354205	25873.151731	2965.125000	16812.875000	
lotería	10046.233233	30447.809904	2625.500000	17372.500000	10434.319585	32618.488016	3148.666667	19401.500000	
pera	14209.145570	49632.748679	5020.666667	29784.000000	14043.130138	48714.906232	4572.000000	31018.666667	
dictado	6553.024747	33495.989286	3223.333333	23423.166667	5683.547709	28588.786736	3057.333333	18829.666667	
ficha	3068.056232	15480.792995	1232.750000	9628.000000	1822.491949	4198.802899	689.333333	3708.333333	
pata	10966.850853	29983.703196	3026.000000	18050.666667	12194.626582	31197.966668	3264.000000	19508.333333	
onda	2302.982050	36132.504181	902.666667	26871.333333	1045.501481	33386.543746	778.666667	20962.000000	
pirámide	1867.490837	27110.300989	1109.000000	10391.857143	3832.875875	21816.777865	1813.857143	15180.571429	
censo	5421.856116	37740.846410	2396.250000	17908.750000	5407.658941	38104.630498	2424.500000	17683.500000	
vena	6829.993942	50638.472325	2713.333333	23325.333333	7244.196989	49123.247334	3140.333333	22138.666667	
castillo	7806.751979	31773.014963	3531.285714	20992.000000	8900.056671	28777.619676	3478.500000	19410.000000	
aspirantes	4158.019986	44005.133248	2599.666667	27786.000000	4376.431959	45454.780784	3113.555556	29921.333333	
vecino	5561.392577	30158.651418	2547.400000	15040.600000	4230.770369	18419.062036	1930.400000	10139.400000	
compra	14982.223568	33907.262192	5808.200000	19636.200000	15461.701641	34723.029440	6387.600000	21145.400000	
campamento	5319.716989	37708.720233	2508.333333	19846.888889	5550.612597	38239.716590	2666.000000	20206.666667	
cabra	7453.559312	31091.018865	3773.500000	23396.250000	6980.840074	31776.376246	3860.500000	25864.500000	
mandíbula	3718.767634	23809.683900	2065.125000	16014.250000	4231.280860	27156.731722	2107.875000	18753.125000	
pueblo	11070.454520	23283.986547	911.000000	7388.000000	5077.205235	16191.517136	688.600000	6252.200000	
escondite	6030.351672	39901.015116	3039.250000	24446.000000	6676.697883	42055.319972	3377.875000	23872.875000	
muchacho	2646.018464	12098.893154	948.285714	6566.857143	2011.809038	3323.243642	453.400000	1921.000000	
duquesa	2886.788153	35989.192946	1418.333333	13397.000000	2281.712221	32022.427039	1147.000000	14339.600000	
farol	8531.965319	28211.898727	3096.000000	27851.750000	8346.060194	27238.787276	2793.750000	26772.750000	
mueca	14965.631335	30808.348936	1661.500000	12895.250000	5621.829321	17865.935820	1212.250000	9856.750000	
adversario	4230.134884	29198.429988	3056.777778	21698.444444	4662.140403	29236.882315	3236.777778	20434.555556	
atún	526.527301	5014.630466	824.000000	4179.666667	909.337032	19278.426864	1111.000000	7239.000000	
discípulo	2818.425002	13508.489011	1896.750000	9018.250000	2322.534459	12481.004237	1601.500000	8125.750000	
coche	12601.520885	19680.878354	4454.250000	10889.500000	14288.916590	19216.705867	5055.666667	9605.666667	
siesta	8203.188323	48007.364973	2386.200000	23724.600000	6484.599029	46615.264767	2306.400000	24075.600000	
marinero	6798.765031	39318.714597	3567.285714	27771.571429	7196.388448	37048.333882	3490.142857	26679.857143	
capítulo	3016.284898	14174.898687	1674.142857	9509.000000	3761.470610	16309.823038	2211.142857	11675.857143	
trabajo	4334.489768	21725.594395	2205.666667	16400.833333	4990.431395	23058.288913	2628.166667	18628.833333	
isla	2156.110588	33830.573000	1157.333333	17111.000000	2001.659951	26590.211376	1135.666667	10965.666667	
planeta	4304.892160	35736.061904	2562.166667	21302.333333	4322.578364	35828.363605	2650.000000	23270.500000	
fibra	3571.071308	21526.052348	2107.500000	15357.500000	4024.948683	23184.561897	2221.250000	17342.750000	
pavimento	4924.297129	35416.402742	1966.125000	16266.500000	5436.713267	38139.672620	2293.625000	18796.500000	
médula	1321.490759	18636.333449	1280.400000	8761.000000	3796.402161	25313.434928	2148.800000	12495.800000	
planta	5392.697211	48478.402905	2712.000000	26886.200000	5311.327366	48473.179304	2789.200000	29036.800000	
apellido	2865.927065	27171.896678	2275.428571	15327.000000	2833.764688	15153.217586	1480.500000	8492.000000	
disco	5769.309857	26465.480857	3548.750000	16681.500000	5143.134781	23641.784506	3428.500000	14789.750000	
atardecer	1362.373288	44451.927373	1564.750000	25247.875000	1231.818672	29813.508130	1546.750000	22202.250000	
visita	5504.624665	24951.460493	3012.800000	15201.000000	5450.410577	23404.687705	3242.600000	14670.400000	
